更新日,曲名
2026/02/01,【みんなのうた】『』[おっぱいがいっぱい]「宮村優子」(On-Off)(百合川).mp4
2026/02/01,【超かぐや姫!】 [ED] ray 超かぐや姫! Version／かぐや(CV夏吉ゆうこ)月見ヤチヨ(CV早見沙織) bb264 (On-Off).mp4
2026/02/01,【ちんこ音頭】『』[ちんこ音頭]「2ちゃんねる」(On-Off)(2ちゃんねる).mp4
2026/02/01,貴族転生 ～恵まれた生まれから最強の力を得る～ (off-UVRchorus-on) Break off※SUPER★DRAGON MV.mp4
2026/02/01,ダーウィン事変 (off-UVRchorus-on) Turn It Up※a子 MV.mp4
2026/01/31,【お前ごときが魔王に勝てると思うな」と勇者パーティを追放されたので、王都で気ままに暮らしたい OP】 Liberator(cut&コーラス入-on) ／  PassCode_けんちぃ_1146.mp4
2026/01/31,「挿入歌」First Love is Never Returned【オフボーカル・コーラス入り】.mp4
2026/01/31,「幻想アンダーグラウンド」大石昌良【オフボーカル・コーラス入り】.mp4
2026/01/31,「僕らの行進曲」First Love is Never Returned【オフボーカル・コーラス入り】.mp4
2026/01/31,救急戦隊ゴーゴーファイブAi【救急戦隊ゴーゴーファイブ_石原慎一】UVR_ON.mp4
2026/01/31,「雪舞う空と二秒の永遠」蓮ノ空女学院スクールアイドルクラブ【オフボーカル・コーラス入り】.mp4
2026/01/31,【カヤちゃんはコワくない ED】 Playmour(cut&コーラス入-off-on) ／ 朔雀&導凰_けんちぃ_1162.mp4
2026/01/31,【ダーウィン事変 ED】 Turn It Up(cut&コーラス入-on) ／ a子_けんちぃ_1160.mp4
2026/01/31,【プリンセス・プリンシパル Crown Handler】[OP]LIES & TIES(on-off)_第4章まで／Void_Chords feat.Yui Mugino.mp4
2026/01/31,キミとアイドルプリキュア♪ Light Up! 映画映像Ver VC (On1_On2_Off).mp4
2026/01/31,【トリッカル・もちもちほっペ大作戦】[TM]もちょっとトリッカル[河瀬茉希・日笠陽子・高野麻里佳](on-cut)krk[パート無].mp4
2026/01/31,【トリッカル・もちもちほっペ大作戦】[TM]もちょっとトリッカル[河瀬茉希・日笠陽子・高野麻里佳](on-cut)krk[パート無].mp4
2026/01/31,【推しの子】 第3期 (off-UVRchorus-on) セレナーデ【なとり】.mp4
2026/01/30,「スノウゴースト」flumpool【オフボーカル・コーラス入り】.mp4
2026/01/30,【アイドルマスター シャイニーカラーズ】[IN]Cyber Parkour[ストレイライト](on-cut)krk[DUO3].mp4
2026/01/30,【アイドルマスター シャイニーカラーズ】[IN]Cyber Parkour[ストレイライト](on-cut)krk[DUO3].mp4
2026/01/30,【貴族転生 〜恵まれた生まれから最強の力を得る〜】[OP]Break off／SUPER☆DRAGON(On-Cut)【naoo】.mp4
2026/01/30,メダリスト 第2期 (off-UVRchorus-on) Rookies【Conton Candy】.mp4
2026/01/30,死亡遊戯で飯を食う (off-UVRchorus-on) 祈り【藤川千愛】.mp4
2026/01/30,カヤちゃんはコワくない (off-UVRchorus-on) まぼろしの行方【ヰ世界情緒】.mp4
2026/01/30,異世界の沙汰は社畜次第 (off-UVRchorus-on) Magic【kobore】.mp4
2026/01/30,透明男と人間女 ～そのうち夫婦になるふたり～ (off-UVRchorus-on) Ding-dong【阿部真央】.mp4
2026/01/30,【推しの子】 第3期 (off-UVRchorus-on) TEST ME【ちゃんみな】※Ver2.mp4
2026/01/30,【違国日記】[ED]言伝／Bialystocks(On-Cut)【naoo】.mp4
2026/01/30,【魔都精兵のスレイブ2】[OP]光よ、僕に。(on-off)_ご褒美Ver.／鬼頭明里.mp4
2026/01/30,[花鳥風月／鈴木このみ]花の慶次～黄金の一撃[on-off].mp4
2026/01/30,29歳独身中堅冒険者の日常 (off-UVRchorus-on) 君の隣は空気が美味しい【HoneyWorks feat.Kotoha】.mp4
2026/01/30,【カヤちゃんはコワくない OP】 まぼろしの行方(cut&コーラス入-on) ／ ヰ世界情緒_けんちぃ_1161.mp4
2026/01/30,【【推しの子】 3rd Season ED】 セレナーデ(cut&コーラス入-on) ／ なとり_けんちぃ_1156.mp4
2026/01/30,【【推しの子】 3rd Season OP】 TEST ME(cut&コーラス入-on) ／ ちゃんみな_けんちぃ_1155.mp4
2026/01/30,[瞬間、シンフォニー／かぐや(夏吉ゆうこ)]超かぐや姫！[on-off].mp4
2026/01/30,ハイスクール！奇面組 (off-UVRchorus-on) ステキッ!!【離婚伝説】※2026年版 ED.mp4
2026/01/30,魔王の娘は優しすぎる!! (off-UVRchorus-on) We Can Do!!【石原夏織】.mp4
2026/01/30,【機動戦士ガンダム 鉄血のオルフェンズ】 [ED] フリージア bb263 (On-Off).mp4
2026/01/30,真夜中ハートチューン (off-UVRchorus-on) 声の軌跡【Soala】.mp4
2026/01/29,【アンジェリーク 魔恋の六騎士】「愛のWarrior」[Op][GRANRODEO][On-Off][ゲーム][芝ちゃん].mp4
2026/01/29,【Another Century's Episode 2(アナザーセンチュリーズエピソード2)】主題歌｜GLORIOUS／愛内里菜［on-off］〔-A.C.E.2 ver.-〕.mp4
